Date,Symbol,TradeType,EntryTime,EntryPrice,ExitTime,ExitPrice,PnL,ExitReason
09-01-2024,CESC,Buy,13:00:00,140.65,13:10:00,140.15,-0.5,Stop Loss Hit
10-01-2024,CESC,Sell,09:20:00,137.85,09:25:00,137,0.85,Target Hit
10-01-2024,CESC,Buy,10:30:00,141.5,10:35:00,140.8,-0.7,Stop Loss Hit
11-01-2024,CESC,Sell,09:30:00,138.9,12:25:00,139.45,-0.55,Stop Loss Hit
12-01-2024,CESC,Sell,09:30:00,137.95,09:45:00,138.6,-0.65,Stop Loss Hit
12-01-2024,CESC,Buy,12:55:00,140.4,13:10:00,141.2,0.8,Target Hit
15-01-2024,CESC,Sell,09:30:00,140.2,09:45:00,139.45,0.75,Target Hit
16-01-2024,CESC,Buy,09:30:00,141.2,09:40:00,140.75,-0.45,Stop Loss Hit
16-01-2024,CESC,Sell,13:15:00,139,13:30:00,138.3,0.7,Target Hit
17-01-2024,CESC,Buy,09:20:00,139.7,09:25:00,138.35,-1.35,Stop Loss Hit
18-01-2024,CESC,Buy,09:25:00,139.1,09:30:00,138.55,-0.55,Stop Loss Hit
18-01-2024,CESC,Sell,09:35:00,136.4,09:40:00,135.7,0.7,Target Hit
19-01-2024,CESC,Buy,09:45:00,143.25,09:55:00,144.3,1.05,Target Hit
20-01-2024,CESC,Buy,09:20:00,140.25,09:25:00,139.65,-0.6,Stop Loss Hit
23-01-2024,CESC,Sell,09:20:00,137.5,09:35:00,136.65,0.85,Target Hit
24-01-2024,CESC,Buy,09:20:00,134.6,09:30:00,134.15,-0.45,Stop Loss Hit
24-01-2024,CESC,Sell,10:25:00,132,10:30:00,132.4,-0.4,Stop Loss Hit
25-01-2024,CESC,Buy,09:25:00,133.85,09:30:00,133.4,-0.45,Stop Loss Hit
29-01-2024,CESC,Buy,09:25:00,137.85,09:35:00,137.45,-0.4,Stop Loss Hit
30-01-2024,CESC,Buy,09:20:00,145.75,09:30:00,147.95,2.2,Target Hit
31-01-2024,CESC,Sell,10:00:00,143.2,12:30:00,142.25,0.95,Target Hit
01-02-2024,CESC,Buy,09:30:00,141.8,10:15:00,141.25,-0.55,Stop Loss Hit
02-02-2024,CESC,Sell,09:20:00,139.4,09:35:00,140.15,-0.75,Stop Loss Hit
